,pred
2015-04-01,37.070347
2015-04-02,36.776592
2015-04-03,34.26809
2015-04-04,6.0196247
2015-04-05,9.250256
2015-04-06,34.081375
2015-04-07,37.070347
2015-04-08,23.208445
2015-04-09,22.648947
2015-04-10,21.56623
2015-04-11,2.803697
2015-04-12,1.9021515
2015-04-13,22.678917
2015-04-14,23.208445
2015-04-15,23.208445
2015-04-16,22.648947
2015-04-17,21.56623
2015-04-18,2.803697
2015-04-19,1.9021515
2015-04-20,22.678917
2015-04-21,23.391726
2015-04-22,23.391726
2015-04-23,22.832228
2015-04-24,21.749512
2015-04-25,2.803697
2015-04-26,1.9021515
2015-04-27,22.862198
2015-04-28,23.391726
2015-04-29,23.391726
2015-04-30,22.832228
2015-05-01,21.749512
2015-05-02,2.803697
2015-05-03,1.9021515
2015-05-04,22.862198
2015-05-05,23.391726
2015-05-06,23.391726
2015-05-07,22.832228
2015-05-08,21.749512
2015-05-09,2.803697
2015-05-10,0.2210871
2015-05-11,21.104656
2015-05-12,21.634184
2015-05-13,21.634184
2015-05-14,21.151163
2015-05-15,20.068447
2015-05-16,1.1226337
2015-05-17,0.2210871
2015-05-18,21.104656
2015-05-19,21.634184
2015-05-20,21.634184
2015-05-21,21.151163
2015-05-22,20.068447
2015-05-23,1.1226337
2015-05-24,0.2210871
2015-05-25,21.104656
2015-05-26,22.085772
2015-05-27,22.085772
2015-05-28,21.60275
2015-05-29,20.520035
2015-05-30,1.1226337
2015-05-31,0.2210871
2015-06-01,21.619213
2015-06-02,23.796215
2015-06-03,23.796215
2015-06-04,23.32611
2015-06-05,22.243395
2015-06-06,2.7830253
2015-06-07,2.7040138
2015-06-08,23.444311
2015-06-09,23.973839
2015-06-10,23.973839
2015-06-11,23.503735
2015-06-12,22.470621
2015-06-13,3.0102527
2015-06-14,2.7040138
2015-06-15,23.444311
2015-06-16,23.973839
2015-06-17,23.973839
2015-06-18,23.503735
2015-06-19,22.470621
2015-06-20,3.0102527
2015-06-21,2.7040138
2015-06-22,23.444311
2015-06-23,23.973839
2015-06-24,23.973839
2015-06-25,23.503735
2015-06-26,22.470621
2015-06-27,3.0102527
2015-06-28,2.7040138
2015-06-29,23.444311
2015-06-30,23.973839
2015-07-01,23.973839
2015-07-02,23.503735
2015-07-03,22.470621
2015-07-04,3.0102527
2015-07-05,2.7040138
2015-07-06,23.809824
2015-07-07,24.339352
2015-07-08,24.339352
2015-07-09,23.93855
2015-07-10,22.905437
2015-07-11,3.0795584
2015-07-12,2.7733192
2015-07-13,23.809824
2015-07-14,24.339352
2015-07-15,24.339352
2015-07-16,23.93855
2015-07-17,22.905437
2015-07-18,3.0795584
2015-07-19,2.7733192
2015-07-20,24.610918
2015-07-21,25.001507
2015-07-22,25.109064
2015-07-23,24.195229
2015-07-24,23.092442
2015-07-25,3.225682
2015-07-26,2.919443
2015-07-27,24.981358
2015-07-28,25.371946
2015-07-29,25.479504
2015-07-30,24.195229
2015-07-31,23.092442
2015-08-01,3.225682
2015-08-02,2.919443
2015-08-03,24.981358
2015-08-04,25.371946
2015-08-05,25.479504
2015-08-06,24.195229
2015-08-07,23.092442
2015-08-08,3.225682
2015-08-09,2.919443
2015-08-10,24.981358
2015-08-11,25.371946
2015-08-12,25.479504
2015-08-13,24.195229
2015-08-14,23.092442
2015-08-15,3.225682
2015-08-16,2.919443
2015-08-17,24.981358
2015-08-18,25.371946
2015-08-19,25.479504
2015-08-20,24.195229
2015-08-21,23.092442
2015-08-22,3.225682
2015-08-23,2.919443
2015-08-24,24.981358
2015-08-25,25.371946
2015-08-26,25.479504
2015-08-27,24.195229
2015-08-28,23.092442
2015-08-29,3.225682
2015-08-30,2.919443
2015-08-31,24.981358
2015-09-01,25.371946
2015-09-02,25.479504
2015-09-03,24.195229
2015-09-04,23.092442
2015-09-05,3.225682
2015-09-06,2.919443
2015-09-07,24.981358
2015-09-08,25.371946
2015-09-09,25.479504
2015-09-10,24.296251
2015-09-11,23.193464
2015-09-12,3.3267047
2015-09-13,3.0204656
2015-09-14,24.981358
2015-09-15,25.371946
2015-09-16,25.479504
2015-09-17,24.296251
2015-09-18,23.193464
2015-09-19,3.3267047
2015-09-20,3.0204656
2015-09-21,24.981358
2015-09-22,25.371946
2015-09-23,25.479504
2015-09-24,24.296251
2015-09-25,23.193464
2015-09-26,3.3267047
2015-09-27,2.8667316
2015-09-28,24.981358
2015-09-29,25.371946
2015-09-30,25.479504
2015-10-01,24.142517
2015-10-02,23.03973
2015-10-03,3.1729708
2015-10-04,2.8667316
2015-10-05,24.981358
2015-10-06,25.371946
2015-10-07,25.479504
2015-10-08,24.142517
2015-10-09,23.03973
2015-10-10,3.1729708
2015-10-11,2.8667316
2015-10-12,24.981358
2015-10-13,25.371946
2015-10-14,25.479504
2015-10-15,24.142517
2015-10-16,23.03973
2015-10-17,3.1729708
2015-10-18,2.8667316
2015-10-19,24.981358
2015-10-20,25.371946
2015-10-21,25.479504
2015-10-22,24.142517
2015-10-23,23.03973
2015-10-24,3.1729708
2015-10-25,2.8667316
2015-10-26,24.981358
2015-10-27,25.371946
2015-10-28,25.479504
2015-10-29,24.142517
2015-10-30,23.03973
2015-10-31,3.1729708
2015-11-01,2.8667316
2015-11-02,24.981358
2015-11-03,25.371946
2015-11-04,23.215282
2015-11-05,21.878298
2015-11-06,20.620207
2015-11-07,0.86617273
